x	   E(x)	
31.067	   11.51754
31.114	   11.67124
31.161	   11.82376
31.208	   11.97510
31.255	   12.12571
31.302	   12.27466
31.349	   12.42240
31.396	   12.56894
31.443	   12.71481
31.490	   12.85892
31.537	   13.00181
31.584	   13.14347
31.631	   13.28452
31.678	   13.42374
31.725	   13.56171
31.772	   13.69846
31.819	   13.83397
31.866	   13.96890
31.913	   14.10193
31.960	   14.23372
32.007	   14.36427
32.054	   14.49430
32.101	   14.62236
32.148	   14.74918
32.195	   14.87475
32.242	   14.99985
32.289	   15.12294
32.336	   15.24479
32.383	   15.36540
32.430	   15.48557
32.477	   15.60370
32.524	   15.72060
32.571	   15.83626
32.618	   15.95069
32.665	   16.06471
32.712	   16.17668
32.759	   16.28743
32.806	   16.39695
32.853	   16.50609
32.900	   16.61317
32.947	   16.71904
32.994	   16.82369
33.041	   16.92799
33.088	   17.03023
33.135	   17.13127
33.182	   17.23111
33.229	   17.33060
33.276	   17.42805
33.323	   17.52432
33.370	   17.61941
33.417	   17.71331
33.464	   17.80688
33.511	   17.89844
33.558	   17.98883
33.605	   18.07805
33.652	   18.16696
33.699	   18.25387
33.746	   18.33964
33.793	   18.42426
33.840	   18.50855
33.887	   18.59090
33.934	   18.67211
33.981	   18.75219
34.028	   18.83195
34.075	   18.90979
34.122	   18.98652
34.169	   19.06214
34.216	   19.13666
34.263	   19.21086
34.310	   19.28318
34.357	   19.35442
34.404	   19.42456
34.451	   19.49438
34.498	   19.56238
34.545	   19.62930
34.592	   19.69516
34.639	   19.76067
34.686	   19.82441
34.733	   19.88710
34.780	   19.94874
34.827	   20.01003
34.874	   20.06958
34.921	   20.12811
34.968	   20.18561
35.015	   20.24207
35.062	   20.29819
35.109	   20.35263
35.156	   20.40605
35.203	   20.45847
35.250	   20.51051
35.297	   20.56093
35.344	   20.61036
35.391	   20.65880
35.438	   20.70684
35.485	   20.75332
35.532	   20.79882
35.579	   20.84334
35.626	   20.88689
35.673	   20.93004
35.720	   20.97168
35.767	   21.01236
35.814	   21.05208
35.861	   21.09138
35.908	   21.12922
35.955	   21.16612
36.002	   21.20207
36.049	   21.23758
36.096	   21.27168
36.143	   21.30485
36.190	   21.33710
36.237	   21.36888
36.284	   21.39930
36.331	   21.42881
36.378	   21.45741
36.425	   21.48510
36.472	   21.51231
36.519	   21.53821
36.566	   21.56321
36.613	   21.58732
36.660	   21.61092
36.707	   21.63326
36.754	   21.65473
36.801	   21.67531
36.848	   21.69534
36.895	   21.71418
36.942	   21.73215
36.989	   21.74924
37.036	   21.76577
37.083	   21.78114
37.130	   21.79566
37.177	   21.80932
37.224	   21.82211
37.271	   21.83434
37.318	   21.84544
37.365	   21.85570
37.412	   21.86512
37.459	   21.87392
37.506	   21.88166
37.553	   21.88857
37.600	   21.89463
37.647	   21.90007
37.694	   21.90448
37.741	   21.90806
37.788	   21.91082
37.835	   21.91291
37.882	   21.91403
37.929	   21.91433
37.976	   21.91380
38.023	   21.91246
38.070	   21.91045
38.117	   21.90750
38.164	   21.90373
38.211	   21.89915
38.258	   21.89388
38.305	   21.88770
38.352	   21.88072
38.399	   21.87294
38.446	   21.86443
38.493	   21.85506
38.540	   21.84489
38.587	   21.83393
38.634	   21.82222
38.681	   21.80968
38.728	   21.79635
38.775	   21.78223
38.822	   21.76732
38.869	   21.75167
38.916	   21.73520
38.963	   21.71795
39.010	   21.69993
39.057	   21.68112
39.104	   21.66155
39.151	   21.64120
39.198	   21.62007
39.245	   21.59815
39.292	   21.57549
39.339	   21.55205
39.386	   21.52785
39.433	   21.50284
39.480	   21.47711
39.527	   21.45062
39.574	   21.42336
39.621	   21.39534
39.668	   21.36651
39.715	   21.33698
39.762	   21.30670
39.809	   21.27565
39.856	   21.24378
39.903	   21.21124
39.950	   21.17795
39.997	   21.14390
40.044	   21.10902
40.091	   21.07349
40.138	   21.03721
40.185	   21.00019
40.232	   20.96233
40.279	   20.92383
40.326	   20.88460
40.373	   20.84462
40.420	   20.80391
40.467	   20.76236
40.514	   20.72020
40.561	   20.67730
40.608	   20.63367
40.655	   20.58920
40.702	   20.54413
40.749	   20.49834
40.796	   20.45183
40.843	   20.40447
40.890	   20.35653
40.937	   20.30787
40.984	   20.25850
41.031	   20.20829
41.078	   20.15751
41.125	   20.10602
41.172	   20.05383
41.219	   20.00093
41.266	   19.94722
41.313	   19.89294
41.360	   19.83797
41.407	   19.78230
41.454	   19.72583
41.501	   19.66880
41.548	   19.61109
41.595	   19.55270
41.642	   19.49352
41.689	   19.43378
41.736	   19.37338
41.783	   19.31231
41.830	   19.25057
41.877	   19.18808
41.924	   19.12504
41.971	   19.06135
42.018	   18.99700
42.065	   18.93192
42.112	   18.86630
42.159	   18.80004
42.206	   18.73315
42.253	   18.66555
42.300	   18.59741
42.347	   18.52866
42.394	   18.45928
42.441	   18.38924
42.488	   18.31865
42.535	   18.24747
42.582	   18.17569
42.629	   18.10331
42.676	   18.03032
42.723	   17.95679
42.770	   17.88269
42.817	   17.80801
42.864	   17.73276
42.911	   17.65697
42.958	   17.58063
43.005	   17.50374
43.052	   17.42633
43.099	   17.34837
43.146	   17.26989
43.193	   17.19089
43.240	   17.11142
43.287	   17.03140
43.334	   16.95088
43.381	   16.86988
43.428	   16.78838
43.475	   16.70648
43.522	   16.62405
43.569	   16.54115
43.616	   16.45779
43.663	   16.37409
43.710	   16.28986
43.757	   16.20519
43.804	   16.12011
43.851	   16.03473
43.898	   15.94882
43.945	   15.86252
43.992	   15.77584
44.039	   15.68892
44.086	   15.60148
44.133	   15.51369
44.180	   15.42554
44.227	   15.33705
44.274	   15.24841
44.321	   15.15927
44.368	   15.06981
44.415	   14.98005
44.462	   14.89020
44.509	   14.79986
44.556	   14.70926
44.603	   14.61839
44.650	   14.52748
44.697	   14.43611
44.744	   14.34452
44.791	   14.25270
44.838	   14.16091
